constrset,inst,index,x,y,valid
constr_1_0512,t1i1r17,20,44,14,1
constr_1_0512,t1i1r17,21,44,16,1
constr_1_0512,t1i1r17,22,44,18,1
constr_1_0512,t1i1r17,23,44,20,1
constr_1_0512,t1i1r17,24,44,22,1
constr_1_0512,t1i1r17,25,44,24,1
constr_1_0512,t1i1r17,26,44,26,1
constr_1_0512,t1i1r17,27,44,28,1
constr_1_0512,t1i1r17,28,44,30,1
constr_1_0512,t1i1r17,29,44,32,1
constr_1_0512,t1i1r17,30,44,34,1
constr_1_0512,t1i1r17,31,44,36,1
constr_1_0544,t1i1r18,0,44,38,1
constr_1_0544,t1i1r18,1,44,40,1
constr_1_0544,t1i1r18,2,44,42,1
constr_1_0544,t1i1r18,3,44,44,1
constr_1_0544,t1i1r18,4,44,46,1
constr_1_0544,t1i1r18,5,44,48,1
constr_1_0544,t1i1r18,6,46,0,1
constr_1_0544,t1i1r18,7,46,2,1
constr_1_0544,t1i1r18,8,46,4,1
constr_1_0544,t1i1r18,9,46,6,1
constr_1_0544,t1i1r18,10,46,8,1
constr_1_0544,t1i1r18,11,46,10,1
constr_1_0544,t1i1r18,12,46,12,1
constr_1_0544,t1i1r18,13,46,14,1
constr_1_0544,t1i1r18,14,46,16,1
constr_1_0544,t1i1r18,15,46,18,1
constr_1_0544,t1i1r18,16,46,20,1
constr_1_0544,t1i1r18,17,46,22,1
constr_1_0544,t1i1r18,18,46,24,1
constr_1_0544,t1i1r18,19,46,26,1
constr_1_0544,t1i1r18,20,46,28,1
constr_1_0544,t1i1r18,21,46,30,1
constr_1_0544,t1i1r18,22,46,32,1
constr_1_0544,t1i1r18,23,46,34,1
constr_1_0544,t1i1r18,24,46,36,1
constr_1_0544,t1i1r18,25,46,38,1
constr_1_0544,t1i1r18,26,46,40,1
constr_1_0544,t1i1r18,27,46,42,1
constr_1_0544,t1i1r18,28,46,44,1
constr_1_0544,t1i1r18,29,46,46,1
constr_1_0544,t1i1r18,30,46,48,1
constr_1_0544,t1i1r18,31,0,0,0
constr_1_0575,t1i1r19,0,0,1,1
constr_1_0575,t1i1r19,1,0,3,1
constr_1_0575,t1i1r19,2,0,5,1
constr_1_0575,t1i1r19,3,0,7,1
constr_1_0575,t1i1r19,4,0,9,1
constr_1_0575,t1i1r19,5,0,11,1
constr_1_0575,t1i1r19,6,0,13,1
constr_1_0575,t1i1r19,7,0,15,1
constr_1_0575,t1i1r19,8,0,17,1
constr_1_0575,t1i1r19,9,0,19,1
constr_1_0575,t1i1r19,10,0,21,1
constr_1_0575,t1i1r19,11,0,23,1
constr_1_0575,t1i1r19,12,0,25,1
constr_1_0575,t1i1r19,13,0,27,1
constr_1_0575,t1i1r19,14,0,29,1
constr_1_0575,t1i1r19,15,0,31,1
constr_1_0575,t1i1r19,16,0,33,1
constr_1_0575,t1i1r19,17,0,35,1
constr_1_0575,t1i1r19,18,0,37,1
constr_1_0575,t1i1r19,19,0,39,1
constr_1_0575,t1i1r19,20,0,41,1
constr_1_0575,t1i1r19,21,0,43,1
constr_1_0575,t1i1r19,22,0,45,1
constr_1_0575,t1i1r19,23,0,47,1
constr_1_0575,t1i1r19,24,0,49,1
constr_1_0575,t1i1r19,25,2,1,1
constr_1_0575,t1i1r19,26,2,3,1
constr_1_0575,t1i1r19,27,2,5,1
